Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -238.31206536563363
Iteration 1 | Energy: -238.31206536566424
Iteration 2 | Energy: -238.31206536583076
Iteration 3 | Energy: -238.31206536578117
Iteration 4 | Energy: -238.31206536562271
Iteration 5 | Energy: -238.3120653657646
Iteration 6 | Energy: -238.31206536538065
Iteration 7 | Energy: -238.31206536571867
Iteration 8 | Energy: -238.31206536575857
Iteration 9 | Energy: -238.31206536553918
Iteration 10 | Energy: -238.31206536536504
Iteration 11 | Energy: -238.3120653654925
Iteration 12 | Energy: -238.3120653656605
Iteration 13 | Energy: -238.31206536577872
Iteration 14 | Energy: -238.3120653658534
Iteration 15 | Energy: -238.3120653650461
Iteration 16 | Energy: -238.3120653659093
Iteration 17 | Energy: -238.31206536323248
Iteration 18 | Energy: -238.312065366754
Iteration 19 | Energy: -238.3120653656806
Iteration 20 | Energy: -238.31206536574348
Iteration 21 | Energy: -238.31206536559782
Iteration 22 | Energy: -238.31206536567078
Iteration 23 | Energy: -238.312065365736
Iteration 24 | Energy: -238.31206536527043
Iteration 25 | Energy: -238.31206536513457
Iteration 26 | Energy: -238.31206536569974
Iteration 27 | Energy: -238.31206536564332
Iteration 28 | Energy: -238.31206536557326
Iteration 29 | Energy: -238.3120653645415
Iteration 30 | Energy: -238.312065365485
Iteration 31 | Energy: -238.31206536550502
Iteration 32 | Energy: -238.31206536578026
Iteration 33 | Energy: -238.31206536564193
Iteration 34 | Energy: -238.312065365634
Iteration 35 | Energy: -238.3120653654873
Iteration 36 | Energy: -238.31206536524186
Iteration 37 | Energy: -238.3120653653483
Iteration 38 | Energy: -238.3120653660033
Iteration 39 | Energy: -238.31206536585694
Iteration 40 | Energy: -238.31206536537852
Iteration 41 | Energy: -238.3120653665498
Iteration 42 | Energy: -238.31206536554834
Iteration 43 | Energy: -238.3120653656336
Iteration 44 | Energy: -238.31206536569997
Iteration 45 | Energy: -238.31206536564804
Iteration 46 | Energy: -238.31206536571466
Iteration 47 | Energy: -238.31206536561564
Iteration 48 | Energy: -238.31206536564136
Iteration 49 | Energy: -238.50936140118316
Iteration 50 | Energy: -238.5093614011494
Iteration 51 | Energy: -238.50936140092367
Iteration 52 | Energy: -238.50936140114237
Iteration 53 | Energy: -238.50936140069246
Iteration 54 | Energy: -238.50936140144506
Iteration 55 | Energy: -238.5093614013601
Iteration 56 | Energy: -238.5093614016507
Iteration 57 | Energy: -238.50936140146442
Iteration 58 | Energy: -238.50936140107729
Iteration 59 | Energy: -238.5093614004209
Iteration 60 | Energy: -238.5093614012321
Iteration 61 | Energy: -238.50936140115218
Iteration 62 | Energy: -238.50936140162534
Iteration 63 | Energy: -238.5093614012797
Iteration 64 | Energy: -238.50936140069672
Iteration 65 | Energy: -238.50936140112955
Iteration 66 | Energy: -238.50936140145473
Iteration 67 | Energy: -238.5093614004653
Iteration 68 | Energy: -238.50936140121593
Iteration 69 | Energy: -238.50936140117025
Iteration 70 | Energy: -238.50936140130207
Iteration 71 | Energy: -238.50936140110755
Iteration 72 | Energy: -238.50936140088908
Iteration 73 | Energy: -238.50936140139146
Iteration 74 | Energy: -238.50936140048142
Iteration 75 | Energy: -238.50936140094376
Iteration 76 | Energy: -238.5093614015424
Iteration 77 | Energy: -238.50936140105995
Iteration 78 | Energy: -238.50936140110457
Iteration 79 | Energy: -238.50936140044797
Iteration 80 | Energy: -238.50936140105867
Iteration 81 | Energy: -238.50936140125526
Iteration 82 | Energy: -238.50936140120297
Iteration 83 | Energy: -238.50936140117355
Iteration 84 | Energy: -238.5093614012614
Iteration 85 | Energy: -238.50936140108024
Iteration 86 | Energy: -238.50936140091534
Iteration 87 | Energy: -238.50936140110443
Iteration 88 | Energy: -238.50936140130005
Iteration 89 | Energy: -238.5093614015556
Iteration 90 | Energy: -238.50936140142667
Iteration 91 | Energy: -238.50936140040238
Iteration 92 | Energy: -238.5093614011832
Iteration 93 | Energy: -238.50936140131193
