Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -236.9007862339449
Iteration 1 | Energy: -236.90078623417503
Iteration 2 | Energy: -236.90078623429818
Iteration 3 | Energy: -236.90078623273857
Iteration 4 | Energy: -236.90078623343106
Iteration 5 | Energy: -236.90078623410056
Iteration 6 | Energy: -236.90078623467826
Iteration 7 | Energy: -236.9007862338476
Iteration 8 | Energy: -236.90078623410076
Iteration 9 | Energy: -236.90078623390235
Iteration 10 | Energy: -236.9007862338377
Iteration 11 | Energy: -236.9007862333298
Iteration 12 | Energy: -236.90078623397832
Iteration 13 | Energy: -236.90078623363033
Iteration 14 | Energy: -236.900786233117
Iteration 15 | Energy: -236.90078623383744
Iteration 16 | Energy: -236.9007862341788
Iteration 17 | Energy: -236.90078623285365
Iteration 18 | Energy: -236.9007862348717
Iteration 19 | Energy: -236.90078623373373
Iteration 20 | Energy: -236.900786234415
Iteration 21 | Energy: -236.90078623448574
Iteration 22 | Energy: -236.9007862338264
Iteration 23 | Energy: -236.90078623360216
Iteration 24 | Energy: -236.90078623383553
Iteration 25 | Energy: -236.90078623381132
Iteration 26 | Energy: -236.90078623414888
Iteration 27 | Energy: -236.90078623382703
Iteration 28 | Energy: -236.90078623374882
Iteration 29 | Energy: -236.90078623454804
Iteration 30 | Energy: -236.90078623492988
Iteration 31 | Energy: -236.90078623392728
Iteration 32 | Energy: -236.90078623374777
Iteration 33 | Energy: -236.90078623382027
Iteration 34 | Energy: -236.90078623370434
Iteration 35 | Energy: -236.90078623361518
Iteration 36 | Energy: -236.9007862336697
Iteration 37 | Energy: -236.9007862337295
Iteration 38 | Energy: -236.9007862339177
Iteration 39 | Energy: -236.90078623429042
Iteration 40 | Energy: -236.9007862341552
Iteration 41 | Energy: -236.90078623261365
Iteration 42 | Energy: -236.90078623341356
Iteration 43 | Energy: -236.90078623394479
Iteration 44 | Energy: -236.90078623389627
Iteration 45 | Energy: -236.9007862340655
Iteration 46 | Energy: -236.9007862339505
Iteration 47 | Energy: -236.9007862339494
Iteration 48 | Energy: -236.90078623382874
Iteration 49 | Energy: -237.07040186054118
Iteration 50 | Energy: -237.07040186051373
Iteration 51 | Energy: -237.07040186079755
Iteration 52 | Energy: -237.0704018601936
Iteration 53 | Energy: -237.07040186019236
Iteration 54 | Energy: -237.07040186100565
Iteration 55 | Energy: -237.07040186024287
Iteration 56 | Energy: -237.07040186047692
Iteration 57 | Energy: -237.07040186061084
Iteration 58 | Energy: -237.0704018597789
Iteration 59 | Energy: -237.0704018604741
Iteration 60 | Energy: -237.07040186042397
Iteration 61 | Energy: -237.07040186053197
Iteration 62 | Energy: -237.07040186029232
Iteration 63 | Energy: -237.07040186034678
Iteration 64 | Energy: -237.0704018605814
Iteration 65 | Energy: -237.07040186061442
Iteration 66 | Energy: -237.0704018601747
Iteration 67 | Energy: -237.0704018603196
Iteration 68 | Energy: -237.07040186045108
Iteration 69 | Energy: -237.07040186055497
Iteration 70 | Energy: -237.0704018606431
Iteration 71 | Energy: -237.0704018608261
Iteration 72 | Energy: -237.07040186027703
Iteration 73 | Energy: -237.07040186018486
Iteration 74 | Energy: -237.07040186078353
Iteration 75 | Energy: -237.07040186074053
Iteration 76 | Energy: -237.0704018610814
Iteration 77 | Energy: -237.0704018608307
Iteration 78 | Energy: -237.0704018592482
Iteration 79 | Energy: -237.07040186063338
Iteration 80 | Energy: -237.07040186056776
Iteration 81 | Energy: -237.07040186059336
Iteration 82 | Energy: -237.07040186047476
Iteration 83 | Energy: -237.07040186050227
Iteration 84 | Energy: -237.07040186067724
Iteration 85 | Energy: -237.07040186011855
Iteration 86 | Energy: -237.07040186065694
Iteration 87 | Energy: -237.07040186049286
Iteration 88 | Energy: -237.07040186077222
Iteration 89 | Energy: -237.07040186050097
Iteration 90 | Energy: -237.0704018608395
Iteration 91 | Energy: -237.07040185965576
Iteration 92 | Energy: -237.0704018605412
Iteration 93 | Energy: -237.07040186053763
Iteration 94 | Energy: -237.07040186056867
Iteration 95 | Energy: -237.07040186047124
Iteration 96 | Energy: -237.07040186063227
Iteration 97 | Energy: -237.07040186050412
Iteration 98 | Energy: -237.15111277493872
Iteration 99 | Energy: -237.15111277499784
Iteration 100 | Energy: -237.15111277479315
Iteration 101 | Energy: -237.15111277506605
Iteration 102 | Energy: -237.15111277486358
Iteration 103 | Energy: -237.15111277497252
Iteration 104 | Energy: -237.15111277503004
Iteration 105 | Energy: -237.15111277474392
Iteration 106 | Energy: -237.15111277489413
Iteration 107 | Energy: -237.15111277444962
Iteration 108 | Energy: -237.15111277492983
Iteration 109 | Energy: -237.15111277495754
Iteration 110 | Energy: -237.15111277493696
Iteration 111 | Energy: -237.1511127746312
Iteration 112 | Energy: -237.1511127752119
Iteration 113 | Energy: -237.15111277483655
Iteration 114 | Energy: -237.15111277487176
Iteration 115 | Energy: -237.15111277529908
Iteration 116 | Energy: -237.1511127751543
Iteration 117 | Energy: -237.15111277486167
Iteration 118 | Energy: -237.15111277500463
Iteration 119 | Energy: -237.1511127748726
Iteration 120 | Energy: -237.15111277513523
Iteration 121 | Energy: -237.15111277520865
Iteration 122 | Energy: -237.1511127748627
Iteration 123 | Energy: -237.15111277527845
Iteration 124 | Energy: -237.15111277510582
Iteration 125 | Energy: -237.15111277516834
Iteration 126 | Energy: -237.1511127750105
Iteration 127 | Energy: -237.1511127743291
Iteration 128 | Energy: -237.15111277504795
Iteration 129 | Energy: -237.1511127749768
Iteration 130 | Energy: -237.1511127749966
Iteration 131 | Energy: -237.15111277493025
Iteration 132 | Energy: -237.15111277496473
Iteration 133 | Energy: -237.1511127748754
Iteration 134 | Energy: -237.15111277466093
Iteration 135 | Energy: -237.15111277510331
Iteration 136 | Energy: -237.15111277491417
Iteration 137 | Energy: -237.15111277499327
Iteration 138 | Energy: -237.15111277486318
Iteration 139 | Energy: -237.1511127755172
Iteration 140 | Energy: -237.15111277468938
Iteration 141 | Energy: -237.15111277493867
Iteration 142 | Energy: -237.15111277497522
Iteration 143 | Energy: -237.15111277494194
Iteration 144 | Energy: -237.15111277485352
Iteration 145 | Energy: -237.151112775
Iteration 146 | Energy: -237.15111277491783
Iteration 147 | Energy: -237.1909336181556
Iteration 148 | Energy: -237.19093361829945
Iteration 149 | Energy: -237.1909336178667
Iteration 150 | Energy: -237.19093361816266
Iteration 151 | Energy: -237.19093361810116
Iteration 152 | Energy: -237.19093361775026
Iteration 153 | Energy: -237.1909336177306
Iteration 154 | Energy: -237.19093361796206
Iteration 155 | Energy: -237.1909336179027
Iteration 156 | Energy: -237.19093361797903
Iteration 157 | Energy: -237.19093361815604
Iteration 158 | Energy: -237.19093361822544
Iteration 159 | Energy: -237.19093361821623
Iteration 160 | Energy: -237.19093361787327
Iteration 161 | Energy: -237.19093361837142
Iteration 162 | Energy: -237.19093361806455
Iteration 163 | Energy: -237.1909336181638
Iteration 164 | Energy: -237.1909336186544
Iteration 165 | Energy: -237.19093361795024
Iteration 166 | Energy: -237.19093361808177
Iteration 167 | Energy: -237.19093361824739
Iteration 168 | Energy: -237.19093361808515
Iteration 169 | Energy: -237.19093361823235
Iteration 170 | Energy: -237.19093361819958
Iteration 171 | Energy: -237.19093361856758
Iteration 172 | Energy: -237.19093361838785
Iteration 173 | Energy: -237.19093361825108
Iteration 174 | Energy: -237.1909336182253
Iteration 175 | Energy: -237.19093361815476
Iteration 176 | Energy: -237.19093361827365
Iteration 177 | Energy: -237.19093361825696
Iteration 178 | Energy: -237.19093361820916
Iteration 179 | Energy: -237.19093361819554
Iteration 180 | Energy: -237.19093361810974
Iteration 181 | Energy: -237.19093361827424
Iteration 182 | Energy: -237.19093361789595
Iteration 183 | Energy: -237.19093361807697
Iteration 184 | Energy: -237.19093361826683
Iteration 185 | Energy: -237.190933618174
Iteration 186 | Energy: -237.19093361809678
Iteration 187 | Energy: -237.19093361799744
Iteration 188 | Energy: -237.1909336183955
Iteration 189 | Energy: -237.1909336179132
Iteration 190 | Energy: -237.19093361815573
Iteration 191 | Energy: -237.19093361819668
Iteration 192 | Energy: -237.19093361814384
Iteration 193 | Energy: -237.19093361809212
Iteration 194 | Energy: -237.19093361818548
Iteration 195 | Energy: -237.19093361813512
Iteration 196 | Energy: -237.22973919572698
Iteration 197 | Energy: -237.22973919594662
Iteration 198 | Energy: -237.22973919556378
Iteration 199 | Energy: -237.2297391955774
Iteration 200 | Energy: -237.22973919557316
Iteration 201 | Energy: -237.22973919500905
Iteration 202 | Energy: -237.22973919585706
Iteration 203 | Energy: -237.22973919564706
Iteration 204 | Energy: -237.22973919548394
Iteration 205 | Energy: -237.22973919583714
Iteration 206 | Energy: -237.2297391957265
Iteration 207 | Energy: -237.22973919590967
Iteration 208 | Energy: -237.22973919573764
Iteration 209 | Energy: -237.22973919549375
Iteration 210 | Energy: -237.22973919580915
Iteration 211 | Energy: -237.2297391954426
Iteration 212 | Energy: -237.22973919582122
Iteration 213 | Energy: -237.22973919578644
Iteration 214 | Energy: -237.22973919584243
Iteration 215 | Energy: -237.22973919569887
Iteration 216 | Energy: -237.2297391957217
Iteration 217 | Energy: -237.22973919567468
Iteration 218 | Energy: -237.22973919570603
Iteration 219 | Energy: -237.2297391958075
Iteration 220 | Energy: -237.22973919587557
Iteration 221 | Energy: -237.22973919590834
Iteration 222 | Energy: -237.22973919572837
Iteration 223 | Energy: -237.22973919569986
Iteration 224 | Energy: -237.2297391957557
Iteration 225 | Energy: -237.22973919605622
Iteration 226 | Energy: -237.22973919573198
Iteration 227 | Energy: -237.2297391957816
Iteration 228 | Energy: -237.22973919573164
Iteration 229 | Energy: -237.22973919557654
Iteration 230 | Energy: -237.22973919589572
Iteration 231 | Energy: -237.22973919573255
Iteration 232 | Energy: -237.22973919561355
Iteration 233 | Energy: -237.2297391956982
Iteration 234 | Energy: -237.22973919567247
Iteration 235 | Energy: -237.2297391956559
Iteration 236 | Energy: -237.22973919560994
Iteration 237 | Energy: -237.2297391955558
Iteration 238 | Energy: -237.22973919618218
Iteration 239 | Energy: -237.22973919572703
Iteration 240 | Energy: -237.2297391957329
Iteration 241 | Energy: -237.22973919568375
Iteration 242 | Energy: -237.229739195672
Iteration 243 | Energy: -237.22973919572794
Iteration 244 | Energy: -237.22973919570347
Iteration 245 | Energy: -237.26310512659458
Iteration 246 | Energy: -237.26310512681647
Iteration 247 | Energy: -237.26310512670312
Iteration 248 | Energy: -237.26310512632082
Iteration 249 | Energy: -237.26310512642863
Iteration 250 | Energy: -237.26310512599963
Iteration 251 | Energy: -237.26310512633086
Iteration 252 | Energy: -237.2631051265984
Iteration 253 | Energy: -237.26310512647075
Iteration 254 | Energy: -237.26310512691728
Iteration 255 | Energy: -237.26310512660513
Iteration 256 | Energy: -237.2631051268835
Iteration 257 | Energy: -237.26310512657798
Iteration 258 | Energy: -237.26310512651673
Iteration 259 | Energy: -237.2631051265812
Iteration 260 | Energy: -237.2631051260621
Iteration 261 | Energy: -237.26310512647817
Iteration 262 | Energy: -237.26310512624
Iteration 263 | Energy: -237.26310512642945
Iteration 264 | Energy: -237.26310512659958
Iteration 265 | Energy: -237.26310512653484
Iteration 266 | Energy: -237.26310512661593
Iteration 267 | Energy: -237.26310512646452
Iteration 268 | Energy: -237.26310512634416
Iteration 269 | Energy: -237.2631051263519
Iteration 270 | Energy: -237.2631051267121
Iteration 271 | Energy: -237.2631051265223
Iteration 272 | Energy: -237.26310512669468
Iteration 273 | Energy: -237.26310512662332
Iteration 274 | Energy: -237.2631051270512
Iteration 275 | Energy: -237.2631051266294
Iteration 276 | Energy: -237.2631051266262
Iteration 277 | Energy: -237.2631051266034
Iteration 278 | Energy: -237.26310512642925
Iteration 279 | Energy: -237.2631051267145
Iteration 280 | Energy: -237.26310512680425
Iteration 281 | Energy: -237.26310512645503
Iteration 282 | Energy: -237.2631051264839
Iteration 283 | Energy: -237.26310512650213
Iteration 284 | Energy: -237.26310512657625
Iteration 285 | Energy: -237.26310512648809
Iteration 286 | Energy: -237.2631051261582
Iteration 287 | Energy: -237.26310512701008
Iteration 288 | Energy: -237.26310512659452
Iteration 289 | Energy: -237.26310512657898
Iteration 290 | Energy: -237.26310512651625
Iteration 291 | Energy: -237.26310512656832
Iteration 292 | Energy: -237.2631051265821
Iteration 293 | Energy: -237.26310512658236
Iteration 294 | Energy: -237.29408414963686
