Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -237.3999591491234
Iteration 1 | Energy: -237.3999591488662
Iteration 2 | Energy: -237.39995914924674
Iteration 3 | Energy: -237.39995914996769
Iteration 4 | Energy: -237.39995914925967
Iteration 5 | Energy: -237.3999591481417
Iteration 6 | Energy: -237.39995914817493
Iteration 7 | Energy: -237.39995914910187
Iteration 8 | Energy: -237.39995914918683
Iteration 9 | Energy: -237.3999591488717
Iteration 10 | Energy: -237.39995914933667
Iteration 11 | Energy: -237.3999591489251
Iteration 12 | Energy: -237.39995914890133
Iteration 13 | Energy: -237.3999591491574
Iteration 14 | Energy: -237.3999591495124
Iteration 15 | Energy: -237.3999591491799
Iteration 16 | Energy: -237.39995914825448
Iteration 17 | Energy: -237.3999591489786
Iteration 18 | Energy: -237.39995914972818
Iteration 19 | Energy: -237.3999591495406
Iteration 20 | Energy: -237.39995914944822
Iteration 21 | Energy: -237.3999591492248
Iteration 22 | Energy: -237.3999591492436
Iteration 23 | Energy: -237.3999591487485
Iteration 24 | Energy: -237.39995914811513
Iteration 25 | Energy: -237.39995914945038
Iteration 26 | Energy: -237.39995914967994
Iteration 27 | Energy: -237.3999591485738
Iteration 28 | Energy: -237.3999591492421
Iteration 29 | Energy: -237.39995914902087
Iteration 30 | Energy: -237.3999591504321
Iteration 31 | Energy: -237.3999591491257
Iteration 32 | Energy: -237.39995914906171
Iteration 33 | Energy: -237.39995914922417
Iteration 34 | Energy: -237.39995914973645
Iteration 35 | Energy: -237.39995914902696
Iteration 36 | Energy: -237.39995914992744
Iteration 37 | Energy: -237.39995914952928
Iteration 38 | Energy: -237.3999591496066
Iteration 39 | Energy: -237.39995914949807
Iteration 40 | Energy: -237.39995914875036
Iteration 41 | Energy: -237.39995914868183
Iteration 42 | Energy: -237.39995914783773
Iteration 43 | Energy: -237.3999591491233
Iteration 44 | Energy: -237.39995914912217
Iteration 45 | Energy: -237.39995914911665
Iteration 46 | Energy: -237.39995914912467
Iteration 47 | Energy: -237.3999591490845
Iteration 48 | Energy: -237.39995914902866
Iteration 49 | Energy: -237.62947913906103
Iteration 50 | Energy: -237.6294791384123
Iteration 51 | Energy: -237.62947913950018
Iteration 52 | Energy: -237.62947913952715
Iteration 53 | Energy: -237.6294791392175
Iteration 54 | Energy: -237.62947913915295
Iteration 55 | Energy: -237.6294791387092
Iteration 56 | Energy: -237.629479138974
Iteration 57 | Energy: -237.6294791391644
Iteration 58 | Energy: -237.6294791388595
Iteration 59 | Energy: -237.62947913904682
Iteration 60 | Energy: -237.62947913901974
Iteration 61 | Energy: -237.62947913970348
Iteration 62 | Energy: -237.6294791392478
Iteration 63 | Energy: -237.62947913952252
Iteration 64 | Energy: -237.62947913909693
Iteration 65 | Energy: -237.6294791389881
Iteration 66 | Energy: -237.62947913889457
Iteration 67 | Energy: -237.6294791394168
Iteration 68 | Energy: -237.6294791396928
Iteration 69 | Energy: -237.62947913931555
Iteration 70 | Energy: -237.62947913905657
Iteration 71 | Energy: -237.62947913926448
Iteration 72 | Energy: -237.6294791386276
Iteration 73 | Energy: -237.62947913899598
Iteration 74 | Energy: -237.62947913901397
Iteration 75 | Energy: -237.62947913937893
Iteration 76 | Energy: -237.62947913918882
Iteration 77 | Energy: -237.62947913926132
Iteration 78 | Energy: -237.6294791394041
Iteration 79 | Energy: -237.62947913924083
Iteration 80 | Energy: -237.62947913908417
Iteration 81 | Energy: -237.62947913884918
Iteration 82 | Energy: -237.62947913924768
Iteration 83 | Energy: -237.62947913915636
Iteration 84 | Energy: -237.62947913910597
Iteration 85 | Energy: -237.6294791393137
Iteration 86 | Energy: -237.62947913917304
Iteration 87 | Energy: -237.62947913918524
Iteration 88 | Energy: -237.62947913909068
Iteration 89 | Energy: -237.62947913927914
Iteration 90 | Energy: -237.62947913795549
Iteration 91 | Energy: -237.6294791386826
Iteration 92 | Energy: -237.6294791390611
Iteration 93 | Energy: -237.62947913906834
Iteration 94 | Energy: -237.62947913899112
Iteration 95 | Energy: -237.62947913901428
Iteration 96 | Energy: -237.62947913904372
Iteration 97 | Energy: -237.62947913891546
Iteration 98 | Energy: -237.7588593909693
Iteration 99 | Energy: -237.7588593908727
Iteration 100 | Energy: -237.75885939083278
Iteration 101 | Energy: -237.7588593909871
Iteration 102 | Energy: -237.7588593910675
Iteration 103 | Energy: -237.7588593911823
Iteration 104 | Energy: -237.75885939114698
Iteration 105 | Energy: -237.7588593907987
Iteration 106 | Energy: -237.75885939111947
Iteration 107 | Energy: -237.75885939104558
Iteration 108 | Energy: -237.75885939091313
Iteration 109 | Energy: -237.75885939113917
Iteration 110 | Energy: -237.75885939160327
Iteration 111 | Energy: -237.75885939139428
Iteration 112 | Energy: -237.7588593910119
Iteration 113 | Energy: -237.75885939063377
Iteration 114 | Energy: -237.7588593912209
Iteration 115 | Energy: -237.75885939063625
Iteration 116 | Energy: -237.75885939157158
Iteration 117 | Energy: -237.75885939101434
Iteration 118 | Energy: -237.7588593908657
Iteration 119 | Energy: -237.75885939056226
Iteration 120 | Energy: -237.758859390897
Iteration 121 | Energy: -237.75885939086768
Iteration 122 | Energy: -237.7588593911928
Iteration 123 | Energy: -237.75885939066245
Iteration 124 | Energy: -237.7588593908892
Iteration 125 | Energy: -237.75885939090128
Iteration 126 | Energy: -237.75885939147636
Iteration 127 | Energy: -237.7588593913863
Iteration 128 | Energy: -237.7588593901888
Iteration 129 | Energy: -237.75885939096526
Iteration 130 | Energy: -237.758859390771
Iteration 131 | Energy: -237.7588593909305
Iteration 132 | Energy: -237.7588593909261
Iteration 133 | Energy: -237.75885939106564
