Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -237.4978516082082
Iteration 1 | Energy: -237.49785160780002
Iteration 2 | Energy: -237.4978516083898
Iteration 3 | Energy: -237.49785160829356
Iteration 4 | Energy: -237.4978516087579
Iteration 5 | Energy: -237.49785160966385
Iteration 6 | Energy: -237.49785160908158
Iteration 7 | Energy: -237.49785160862808
Iteration 8 | Energy: -237.49785160908067
Iteration 9 | Energy: -237.49785160835026
Iteration 10 | Energy: -237.4978516082625
Iteration 11 | Energy: -237.49785160657612
Iteration 12 | Energy: -237.49785160702382
Iteration 13 | Energy: -237.4978516076892
Iteration 14 | Energy: -237.49785160783017
Iteration 15 | Energy: -237.49785160863937
Iteration 16 | Energy: -237.4978516093418
Iteration 17 | Energy: -237.49785160711045
Iteration 18 | Energy: -237.49785160906552
Iteration 19 | Energy: -237.49785160810265
Iteration 20 | Energy: -237.4978516076215
Iteration 21 | Energy: -237.49785160781326
Iteration 22 | Energy: -237.49785160845508
Iteration 23 | Energy: -237.4978516087069
Iteration 24 | Energy: -237.49785160706676
Iteration 25 | Energy: -237.49785160793203
Iteration 26 | Energy: -237.49785160826616
Iteration 27 | Energy: -237.49785160787692
Iteration 28 | Energy: -237.49785160855728
Iteration 29 | Energy: -237.4978516079698
Iteration 30 | Energy: -237.49785160814864
Iteration 31 | Energy: -237.49785160847583
Iteration 32 | Energy: -237.4978516084484
Iteration 33 | Energy: -237.49785160791018
Iteration 34 | Energy: -237.4978516080303
Iteration 35 | Energy: -237.49785160619015
Iteration 36 | Energy: -237.497851608303
Iteration 37 | Energy: -237.49785160837695
Iteration 38 | Energy: -237.49785160812186
Iteration 39 | Energy: -237.49785160722547
Iteration 40 | Energy: -237.4978516081528
Iteration 41 | Energy: -237.49785160794164
Iteration 42 | Energy: -237.49785160857436
Iteration 43 | Energy: -237.49785160820826
Iteration 44 | Energy: -237.4978516082397
Iteration 45 | Energy: -237.49785160844564
Iteration 46 | Energy: -237.49785160829612
Iteration 47 | Energy: -237.49785160815568
Iteration 48 | Energy: -237.49785160823396
Iteration 49 | Energy: -237.71755042492217
Iteration 50 | Energy: -237.71755042598807
Iteration 51 | Energy: -237.7175504256112
Iteration 52 | Energy: -237.71755042437238
Iteration 53 | Energy: -237.71755042452017
Iteration 54 | Energy: -237.71755042500985
Iteration 55 | Energy: -237.7175504242803
Iteration 56 | Energy: -237.71755042437877
Iteration 57 | Energy: -237.71755042434637
Iteration 58 | Energy: -237.7175504245445
Iteration 59 | Energy: -237.71755042486697
Iteration 60 | Energy: -237.7175504250899
Iteration 61 | Energy: -237.71755042457474
Iteration 62 | Energy: -237.71755042720739
Iteration 63 | Energy: -237.7175504238692
Iteration 64 | Energy: -237.71755042471244
Iteration 65 | Energy: -237.71755042508119
Iteration 66 | Energy: -237.71755042524322
Iteration 67 | Energy: -237.71755042491597
Iteration 68 | Energy: -237.71755042470107
Iteration 69 | Energy: -237.71755042513513
Iteration 70 | Energy: -237.7175504251151
Iteration 71 | Energy: -237.71755042480063
Iteration 72 | Energy: -237.71755042495823
Iteration 73 | Energy: -237.7175504253702
Iteration 74 | Energy: -237.71755042459554
Iteration 75 | Energy: -237.7175504248359
Iteration 76 | Energy: -237.71755042443223
Iteration 77 | Energy: -237.71755042499467
Iteration 78 | Energy: -237.7175504248398
Iteration 79 | Energy: -237.71755042492637
Iteration 80 | Energy: -237.71755042493268
Iteration 81 | Energy: -237.71755042489727
Iteration 82 | Energy: -237.7175504247058
Iteration 83 | Energy: -237.71755042466907
Iteration 84 | Energy: -237.71755042494527
Iteration 85 | Energy: -237.71755042541741
Iteration 86 | Energy: -237.71755042508568
Iteration 87 | Energy: -237.71755042500058
Iteration 88 | Energy: -237.71755042426494
Iteration 89 | Energy: -237.71755042563296
Iteration 90 | Energy: -237.71755042494823
Iteration 91 | Energy: -237.7175504246643
Iteration 92 | Energy: -237.7175504249221
Iteration 93 | Energy: -237.71755042491614
Iteration 94 | Energy: -237.71755042508528
Iteration 95 | Energy: -237.71755042494576
Iteration 96 | Energy: -237.71755042487607
Iteration 97 | Energy: -237.71755042507667
Iteration 98 | Energy: -237.82350585934822
Iteration 99 | Energy: -237.82350585983298
Iteration 100 | Energy: -237.823505859718
Iteration 101 | Energy: -237.8235058590042
Iteration 102 | Energy: -237.82350585902233
Iteration 103 | Energy: -237.82350585934964
Iteration 104 | Energy: -237.82350585863685
Iteration 105 | Energy: -237.8235058587785
Iteration 106 | Energy: -237.82350585896722
Iteration 107 | Energy: -237.82350585914244
Iteration 108 | Energy: -237.8235058593766
Iteration 109 | Energy: -237.82350585978958
Iteration 110 | Energy: -237.8235058592181
Iteration 111 | Energy: -237.82350586055924
Iteration 112 | Energy: -237.82350585888187
Iteration 113 | Energy: -237.8235058587539
Iteration 114 | Energy: -237.8235058597464
Iteration 115 | Energy: -237.8235058595016
Iteration 116 | Energy: -237.82350585927173
Iteration 117 | Energy: -237.82350585927338
Iteration 118 | Energy: -237.82350585957133
Iteration 119 | Energy: -237.82350585949487
Iteration 120 | Energy: -237.8235058592737
Iteration 121 | Energy: -237.82350585922427
Iteration 122 | Energy: -237.82350585977673
Iteration 123 | Energy: -237.82350585939182
Iteration 124 | Energy: -237.82350585940938
Iteration 125 | Energy: -237.82350585900858
Iteration 126 | Energy: -237.82350585945176
Iteration 127 | Energy: -237.8235058593913
Iteration 128 | Energy: -237.82350585927654
Iteration 129 | Energy: -237.82350585932818
Iteration 130 | Energy: -237.82350585930976
Iteration 131 | Energy: -237.82350585930155
Iteration 132 | Energy: -237.82350585911382
Iteration 133 | Energy: -237.82350585938664
Iteration 134 | Energy: -237.82350586001033
Iteration 135 | Energy: -237.82350585954322
Iteration 136 | Energy: -237.82350585924374
Iteration 137 | Energy: -237.8235058590292
Iteration 138 | Energy: -237.82350585993834
Iteration 139 | Energy: -237.82350585936504
Iteration 140 | Energy: -237.82350585966896
Iteration 141 | Energy: -237.82350585934827
Iteration 142 | Energy: -237.82350585935694
Iteration 143 | Energy: -237.82350585946125
Iteration 144 | Energy: -237.8235058593049
Iteration 145 | Energy: -237.823505859307
Iteration 146 | Energy: -237.82350585946182
Iteration 147 | Energy: -237.91510671028897
Iteration 148 | Energy: -237.91510670917833
Iteration 149 | Energy: -237.91510671006682
Iteration 150 | Energy: -237.9151067104162
Iteration 151 | Energy: -237.9151067105141
Iteration 152 | Energy: -237.91510670980836
Iteration 153 | Energy: -237.91510671011773
Iteration 154 | Energy: -237.9151067101101
Iteration 155 | Energy: -237.91510671082438
Iteration 156 | Energy: -237.91510671068616
Iteration 157 | Energy: -237.9151067109205
Iteration 158 | Energy: -237.91510671114872
Iteration 159 | Energy: -237.915106710394
Iteration 160 | Energy: -237.91510670898074
Iteration 161 | Energy: -237.91510671085854
Iteration 162 | Energy: -237.9151067094945
Iteration 163 | Energy: -237.9151067108923
Iteration 164 | Energy: -237.915106709899
Iteration 165 | Energy: -237.91510671071669
Iteration 166 | Energy: -237.91510671054667
Iteration 167 | Energy: -237.91510671045282
Iteration 168 | Energy: -237.9151067103406
Iteration 169 | Energy: -237.915106710122
Iteration 170 | Energy: -237.91510671042576
Iteration 171 | Energy: -237.91510671032157
Iteration 172 | Energy: -237.91510671025296
Iteration 173 | Energy: -237.91510671056943
Iteration 174 | Energy: -237.91510671020512
Iteration 175 | Energy: -237.915106710267
Iteration 176 | Energy: -237.9151067103577
Iteration 177 | Energy: -237.91510671019233
Iteration 178 | Energy: -237.91510671031062
Iteration 179 | Energy: -237.91510671019637
Iteration 180 | Energy: -237.9151067106372
Iteration 181 | Energy: -237.9151067102239
Iteration 182 | Energy: -237.91510671048763
Iteration 183 | Energy: -237.91510671084046
Iteration 184 | Energy: -237.91510671037034
Iteration 185 | Energy: -237.91510671026342
Iteration 186 | Energy: -237.91510671045708
Iteration 187 | Energy: -237.91510671062966
Iteration 188 | Energy: -237.91510670957473
Iteration 189 | Energy: -237.91510671103848
Iteration 190 | Energy: -237.91510671028897
Iteration 191 | Energy: -237.91510671029764
Iteration 192 | Energy: -237.91510671025867
Iteration 193 | Energy: -237.91510671013745
Iteration 194 | Energy: -237.91510671029323
Iteration 195 | Energy: -237.91510671028226
Iteration 196 | Energy: -237.98807231292
Iteration 197 | Energy: -237.98807231221693
Iteration 198 | Energy: -237.9880723126169
Iteration 199 | Energy: -237.98807231312384
Iteration 200 | Energy: -237.98807231301726
Iteration 201 | Energy: -237.98807231262148
Iteration 202 | Energy: -237.98807231267935
Iteration 203 | Energy: -237.9880723126786
Iteration 204 | Energy: -237.9880723135094
Iteration 205 | Energy: -237.98807231326373
Iteration 206 | Energy: -237.98807231320055
Iteration 207 | Energy: -237.98807231410427
Iteration 208 | Energy: -237.98807231290954
Iteration 209 | Energy: -237.9880723120336
Iteration 210 | Energy: -237.98807231300415
Iteration 211 | Energy: -237.98807231278678
Iteration 212 | Energy: -237.98807231344634
Iteration 213 | Energy: -237.98807231249344
Iteration 214 | Energy: -237.988072313374
Iteration 215 | Energy: -237.9880723130513
Iteration 216 | Energy: -237.98807231320765
Iteration 217 | Energy: -237.98807231297923
Iteration 218 | Energy: -237.98807231285835
Iteration 219 | Energy: -237.98807231315575
Iteration 220 | Energy: -237.9880723130675
Iteration 221 | Energy: -237.98807231263734
Iteration 222 | Energy: -237.9880723131947
Iteration 223 | Energy: -237.98807231269035
Iteration 224 | Energy: -237.98807231293537
Iteration 225 | Energy: -237.9880723129345
Iteration 226 | Energy: -237.9880723127318
Iteration 227 | Energy: -237.9880723129688
Iteration 228 | Energy: -237.9880723126762
Iteration 229 | Energy: -237.98807231320367
Iteration 230 | Energy: -237.98807231287108
Iteration 231 | Energy: -237.98807231283996
Iteration 232 | Energy: -237.98807231348653
Iteration 233 | Energy: -237.98807231299116
Iteration 234 | Energy: -237.98807231293975
Iteration 235 | Energy: -237.98807231295157
Iteration 236 | Energy: -237.98807231316587
Iteration 237 | Energy: -237.98807231262865
Iteration 238 | Energy: -237.9880723132861
Iteration 239 | Energy: -237.98807231292005
Iteration 240 | Energy: -237.98807231290652
Iteration 241 | Energy: -237.98807231290937
Iteration 242 | Energy: -237.98807231277814
Iteration 243 | Energy: -237.98807231294037
Iteration 244 | Energy: -237.9880723129341
Iteration 245 | Energy: -237.71402782171361
