Optimization started at Mon Nov 25 15:54:35 2024
Iteration 137 | Energy: -238.04194911536575
Iteration 138 | Energy: -238.04194911527802
Iteration 139 | Energy: -238.0419491148721
Iteration 140 | Energy: -238.04194911615252
Iteration 141 | Energy: -238.04194911591904
Iteration 142 | Energy: -238.04194911436548
Iteration 143 | Energy: -238.04194911645308
Iteration 144 | Energy: -238.04194911647548
Iteration 145 | Energy: -238.04194911616474
Iteration 146 | Energy: -238.04194911510578
Iteration 147 | Energy: -238.04194911613487
Iteration 148 | Energy: -238.04194911555095
Iteration 149 | Energy: -238.04194911601516
Iteration 150 | Energy: -238.04194911549533
Iteration 151 | Energy: -238.04194911616221
Iteration 152 | Energy: -238.04194911563442
Iteration 153 | Energy: -238.04194911567427
Iteration 154 | Energy: -238.04194911564866
Iteration 155 | Energy: -238.04194911563954
Iteration 156 | Energy: -238.04194911563363
Iteration 157 | Energy: -238.04194911576752
Iteration 158 | Energy: -238.0419491157061
Iteration 159 | Energy: -238.04194911564244
Iteration 160 | Energy: -238.04194911565241
Iteration 161 | Energy: -238.0419491157159
Iteration 162 | Energy: -238.3090325315636
Iteration 163 | Energy: -238.30903253264924
Iteration 164 | Energy: -238.30903253455205
Iteration 165 | Energy: -238.30903253094172
Iteration 166 | Energy: -238.30903253249596
Iteration 167 | Energy: -238.30903253194407
Iteration 168 | Energy: -238.30903253197744
Iteration 169 | Energy: -238.30903253128133
Iteration 170 | Energy: -238.3090325320555
Iteration 171 | Energy: -238.30903253189516
Iteration 172 | Energy: -238.3090325305144
Iteration 173 | Energy: -238.3090325315672
Iteration 174 | Energy: -238.30903253169993
Iteration 175 | Energy: -238.30903253158945
Iteration 176 | Energy: -238.30903253170558
Iteration 177 | Energy: -238.30903253154958
Iteration 178 | Energy: -238.30903253157084
Iteration 179 | Energy: -238.30903253137987
Iteration 180 | Energy: -238.30903253169203
Iteration 181 | Energy: -238.30903253162052
Iteration 182 | Energy: -238.30903253215996
Iteration 183 | Energy: -238.30903252991553
Iteration 184 | Energy: -238.30903253149322
Iteration 185 | Energy: -238.30903253105382
Iteration 186 | Energy: -238.3090325309572
Iteration 187 | Energy: -238.30903253051432
Iteration 188 | Energy: -238.30903253258217
Iteration 189 | Energy: -238.3090325314391
Iteration 190 | Energy: -238.30903253146082
Iteration 191 | Energy: -238.30903253198977
Iteration 192 | Energy: -238.3090325312475
Iteration 193 | Energy: -238.3090325315458
Iteration 194 | Energy: -238.3090325315921
Iteration 195 | Energy: -238.30903253162163
Iteration 196 | Energy: -238.30903253158206
Iteration 197 | Energy: -238.30903253259885
Iteration 198 | Energy: -238.30903253191084
Iteration 199 | Energy: -238.30903253212057
Iteration 200 | Energy: -238.30903253134585
Iteration 201 | Energy: -238.30903253188293
Iteration 202 | Energy: -238.3090325305443
Iteration 203 | Energy: -238.3090325310979
Iteration 204 | Energy: -238.30903252881598
Iteration 205 | Energy: -238.3090325308648
Iteration 206 | Energy: -238.30903253080527
Iteration 207 | Energy: -238.3090325317508
Iteration 208 | Energy: -238.30903253200336
Iteration 209 | Energy: -238.30903253211616
Iteration 210 | Energy: -238.30903253100604
Iteration 211 | Energy: -238.3090325322341
Iteration 212 | Energy: -238.30903253128372
Iteration 213 | Energy: -238.3090325315872
Iteration 214 | Energy: -238.3090325316644
Iteration 215 | Energy: -238.30903253150188
Iteration 216 | Energy: -238.3090325313989
Iteration 217 | Energy: -238.30903253197647
Iteration 218 | Energy: -238.3090325311141
Iteration 219 | Energy: -238.30903253146317
Iteration 220 | Energy: -238.30903253254021
Iteration 221 | Energy: -238.30903253107186
Iteration 222 | Energy: -238.30903253231014
Iteration 223 | Energy: -238.30903253120485
Iteration 224 | Energy: -238.30903253090602
Iteration 225 | Energy: -238.30903252982634
Iteration 226 | Energy: -238.3090325324014
Iteration 227 | Energy: -238.30903253140275
Iteration 228 | Energy: -238.30903253148966
Iteration 229 | Energy: -238.309032532759
Iteration 230 | Energy: -238.30903253183794
Iteration 231 | Energy: -238.30903253206694
Iteration 232 | Energy: -238.30903253150467
Iteration 233 | Energy: -238.30903253156364
Iteration 234 | Energy: -238.3090325315325
Iteration 235 | Energy: -238.30903253157223
Iteration 236 | Energy: -238.30903253155964
Iteration 237 | Energy: -238.30903253158226
Iteration 238 | Energy: -238.3090325315917
Iteration 239 | Energy: -238.30903253160912
Iteration 240 | Energy: -238.30903253150515
Iteration 241 | Energy: -238.30903253153338
Iteration 242 | Energy: -238.30903253161375
Iteration 243 | Energy: -238.68751662679804
Iteration 244 | Energy: -238.68751662724696
Iteration 245 | Energy: -238.68751662559345
Iteration 246 | Energy: -238.68751662726
Iteration 247 | Energy: -238.68751662696292
Iteration 248 | Energy: -238.6875166274121
Iteration 249 | Energy: -238.68751662641162
Iteration 250 | Energy: -238.68751662701462
Iteration 251 | Energy: -238.6875166272227
Iteration 252 | Energy: -238.68751662665088
Iteration 253 | Energy: -238.68751662672105
Iteration 254 | Energy: -238.68751662679168
Iteration 255 | Energy: -238.68751662679804
Iteration 256 | Energy: -238.68751662677136
Iteration 257 | Energy: -238.68751662679944
Iteration 258 | Energy: -238.6875166267805
Iteration 259 | Energy: -238.68751662680208
Iteration 260 | Energy: -238.68751662653176
Iteration 261 | Energy: -238.68751662722985
Iteration 262 | Energy: -238.68751662685688
Iteration 263 | Energy: -238.68751662722585
Iteration 264 | Energy: -238.68751662573672
Iteration 265 | Energy: -238.6875166245091
Iteration 266 | Energy: -238.68751662646972
Iteration 267 | Energy: -238.68751662653915
Iteration 268 | Energy: -238.68751662608327
Iteration 269 | Energy: -238.68751662793412
Iteration 270 | Energy: -238.68751662673816
Iteration 271 | Energy: -238.68751662644578
Iteration 272 | Energy: -238.68751662715448
Iteration 273 | Energy: -238.68751662691614
Iteration 274 | Energy: -238.6875166268091
Iteration 275 | Energy: -238.687516626768
Iteration 276 | Energy: -238.68751662679705
Iteration 277 | Energy: -238.68751662676712
Iteration 278 | Energy: -238.68751662721758
Iteration 279 | Energy: -238.68751662704642
Iteration 280 | Energy: -238.68751662691957
Iteration 281 | Energy: -238.6875166265679
Iteration 282 | Energy: -238.68751662714433
Iteration 283 | Energy: -238.6875166267301
Iteration 284 | Energy: -238.68751662600474
Iteration 285 | Energy: -238.68751662601716
Iteration 286 | Energy: -238.687516625961
Iteration 287 | Energy: -238.68751662603776
Iteration 288 | Energy: -238.68751662736065
Iteration 289 | Energy: -238.68751662701595
Iteration 290 | Energy: -238.68751662691417
Iteration 291 | Energy: -238.68751662627028
Iteration 292 | Energy: -238.6875166275828
Iteration 293 | Energy: -238.68751662703787
Iteration 294 | Energy: -238.6875166267957
Iteration 295 | Energy: -238.68751662679094
Iteration 296 | Energy: -238.68751662680447
Iteration 297 | Energy: -238.68751662679108
Iteration 298 | Energy: -238.68751662731665
Iteration 299 | Energy: -238.68751662644013
Iteration 300 | Energy: -238.68751662660657
Iteration 301 | Energy: -238.6875166267184
Iteration 302 | Energy: -238.6875166267246
Iteration 303 | Energy: -238.68751662764478
Iteration 304 | Energy: -238.68751662608557
Iteration 305 | Energy: -238.68751662703403
Iteration 306 | Energy: -238.6875166263544
Iteration 307 | Energy: -238.68751662767
Iteration 308 | Energy: -238.68751662644218
Iteration 309 | Energy: -238.68751662676806
Iteration 310 | Energy: -238.68751662715493
Iteration 311 | Energy: -238.6875166271203
Iteration 312 | Energy: -238.68751662713206
Iteration 313 | Energy: -238.68751662713476
Iteration 314 | Energy: -238.68751662679804
Iteration 315 | Energy: -238.6875166267803
Iteration 316 | Energy: -238.6875166268197
Iteration 317 | Energy: -238.68751662682394
Iteration 318 | Energy: -238.6875166268029
Iteration 319 | Energy: -238.6875166268494
Iteration 320 | Energy: -238.6875166268848
Iteration 321 | Energy: -238.68751662680614
Iteration 322 | Energy: -238.6875166267297
Iteration 323 | Energy: -238.68751662687865
Iteration 324 | Energy: -238.86819521959038
Iteration 325 | Energy: -238.8681952195644
Iteration 326 | Energy: -238.86819521849915
Iteration 327 | Energy: -238.86819521978344
Iteration 328 | Energy: -238.8681952194709
Iteration 329 | Energy: -238.86819521988826
Iteration 330 | Energy: -238.86819521889592
Iteration 331 | Energy: -238.8681952204802
Iteration 332 | Energy: -238.86819522006567
Iteration 333 | Energy: -238.86819521887813
Iteration 334 | Energy: -238.86819522023438
Iteration 335 | Energy: -238.8681952195905
Iteration 336 | Energy: -238.86819521959163
Iteration 337 | Energy: -238.86819521951253
Iteration 338 | Energy: -238.8681952195793
Iteration 339 | Energy: -238.86819521959993
Iteration 340 | Energy: -238.86819521959592
Iteration 341 | Energy: -238.86819521931017
Iteration 342 | Energy: -238.86819521995815
Iteration 343 | Energy: -238.8681952196177
Iteration 344 | Energy: -238.8681952196834
Iteration 345 | Energy: -238.86819521991941
Iteration 346 | Energy: -238.86819521990049
Iteration 347 | Energy: -238.8681952197778
Iteration 348 | Energy: -238.86819521959882
Iteration 349 | Energy: -238.86819521932546
Iteration 350 | Energy: -238.86819521979112
Iteration 351 | Energy: -238.8681952195759
Iteration 352 | Energy: -238.8681952194237
Iteration 353 | Energy: -238.8681952198631
Iteration 354 | Energy: -238.86819522043209
Iteration 355 | Energy: -238.86819521959066
Iteration 356 | Energy: -238.86819521957204
Iteration 357 | Energy: -238.86819521968783
Iteration 358 | Energy: -238.86819521949343
Iteration 359 | Energy: -238.86819521934498
Iteration 360 | Energy: -238.86819521959274
Iteration 361 | Energy: -238.86819521919477
Iteration 362 | Energy: -238.86819521917843
Iteration 363 | Energy: -238.86819521964568
Iteration 364 | Energy: -238.86819522024277
Iteration 365 | Energy: -238.86819521967803
Iteration 366 | Energy: -238.8681952212711
Iteration 367 | Energy: -238.86819521877854
Iteration 368 | Energy: -238.86819521973177
Iteration 369 | Energy: -238.86819521940004
Iteration 370 | Energy: -238.86819521901666
Iteration 371 | Energy: -238.86819521903442
Iteration 372 | Energy: -238.86819521950662
Iteration 373 | Energy: -238.8681952199855
Iteration 374 | Energy: -238.86819522027739
Iteration 375 | Energy: -238.86819521959342
Iteration 376 | Energy: -238.86819521964682
Iteration 377 | Energy: -238.86819521967234
Iteration 378 | Energy: -238.8681952196215
Iteration 379 | Energy: -238.86819522011416
Iteration 380 | Energy: -238.86819521912278
Iteration 381 | Energy: -238.86819521945668
Iteration 382 | Energy: -238.8681952187295
Iteration 383 | Energy: -238.86819521995693
Iteration 384 | Energy: -238.86819521981596
Iteration 385 | Energy: -238.86819521927424
Iteration 386 | Energy: -238.86819522063826
Iteration 387 | Energy: -238.8681952205198
Iteration 388 | Energy: -238.86819522041898
Iteration 389 | Energy: -238.86819521878402
Iteration 390 | Energy: -238.86819521951148
Iteration 391 | Energy: -238.86819521911158
Iteration 392 | Energy: -238.86819521981073
Iteration 393 | Energy: -238.86819521994562
Iteration 394 | Energy: -238.86819522018897
Iteration 395 | Energy: -238.86819521959032
Iteration 396 | Energy: -238.8681952195765
Iteration 397 | Energy: -238.86819521961758
Iteration 398 | Energy: -238.86819521961834
Iteration 399 | Energy: -238.86819521960106
Iteration 400 | Energy: -238.8681952195336
