Optimization started at Thu Nov 28 12:41:17 2024
Iteration 151 | Energy: -237.50214581067394
Iteration 152 | Energy: -237.50214581101724
Iteration 153 | Energy: -237.5021458108932
Iteration 154 | Energy: -237.50214581141927
Iteration 155 | Energy: -237.5021458110565
Iteration 156 | Energy: -237.5021458109774
Iteration 157 | Energy: -237.50214581147998
Iteration 158 | Energy: -237.5021458110275
Iteration 159 | Energy: -237.50214581151022
Iteration 160 | Energy: -237.50214581096338
Iteration 161 | Energy: -237.5021458113889
Iteration 162 | Energy: -237.50214581097717
Iteration 163 | Energy: -237.50214581106363
Iteration 164 | Energy: -237.50214581094562
Iteration 165 | Energy: -237.50214581105308
Iteration 166 | Energy: -237.5021458109452
Iteration 167 | Energy: -237.50214581119047
Iteration 168 | Energy: -237.50214581103572
Iteration 169 | Energy: -237.50214581121023
Iteration 170 | Energy: -237.50214581090617
Iteration 171 | Energy: -237.5021458116676
Iteration 172 | Energy: -237.5021458109462
Iteration 173 | Energy: -237.5021458109011
Iteration 174 | Energy: -237.50214581098024
Iteration 175 | Energy: -237.50214581073948
Iteration 176 | Energy: -237.50214581167162
Iteration 177 | Energy: -237.5021458103768
Iteration 178 | Energy: -237.50214581107724
Iteration 179 | Energy: -237.50214581110234
Iteration 180 | Energy: -237.50214581103012
Iteration 181 | Energy: -237.50214581096515
Iteration 182 | Energy: -237.50214581093272
Iteration 183 | Energy: -237.50214581130652
Iteration 184 | Energy: -237.50214581104103
Iteration 185 | Energy: -237.50214581108665
Iteration 186 | Energy: -237.5021458114513
Iteration 187 | Energy: -237.50214581119675
Iteration 188 | Energy: -237.50214581140193
Iteration 189 | Energy: -237.5021458115046
Iteration 190 | Energy: -237.50214581105556
Iteration 191 | Energy: -237.50214581106286
Iteration 192 | Energy: -237.5021458110725
Iteration 193 | Energy: -237.50214581103933
Iteration 194 | Energy: -237.5021458111011
Iteration 195 | Energy: -237.50214581101983
Iteration 196 | Energy: -237.55210794452285
Iteration 197 | Energy: -237.55210794474073
Iteration 198 | Energy: -237.5521079449163
Iteration 199 | Energy: -237.55210794449818
Iteration 200 | Energy: -237.5521079442312
Iteration 201 | Energy: -237.5521079443869
Iteration 202 | Energy: -237.55210794428717
Iteration 203 | Energy: -237.5521079448691
Iteration 204 | Energy: -237.55210794451403
Iteration 205 | Energy: -237.55210794455877
Iteration 206 | Energy: -237.55210794488846
Iteration 207 | Energy: -237.5521079444943
Iteration 208 | Energy: -237.5521079452021
Iteration 209 | Energy: -237.55210794446845
Iteration 210 | Energy: -237.55210794482784
Iteration 211 | Energy: -237.55210794464188
Iteration 212 | Energy: -237.55210794449982
Iteration 213 | Energy: -237.55210794411832
Iteration 214 | Energy: -237.55210794440282
Iteration 215 | Energy: -237.5521079444554
Iteration 216 | Energy: -237.5521079447366
Iteration 217 | Energy: -237.5521079444933
Iteration 218 | Energy: -237.55210794461928
Iteration 219 | Energy: -237.55210794430187
Iteration 220 | Energy: -237.55210794500675
Iteration 221 | Energy: -237.55210794468522
Iteration 222 | Energy: -237.55210794463943
Iteration 223 | Energy: -237.55210794479274
Iteration 224 | Energy: -237.55210794455826
Iteration 225 | Energy: -237.5521079447078
Iteration 226 | Energy: -237.5521079440003
Iteration 227 | Energy: -237.55210794453535
Iteration 228 | Energy: -237.552107944557
Iteration 229 | Energy: -237.5521079444635
Iteration 230 | Energy: -237.5521079444695
Iteration 231 | Energy: -237.5521079442519
Iteration 232 | Energy: -237.5521079448508
Iteration 233 | Energy: -237.55210794441498
Iteration 234 | Energy: -237.5521079446434
Iteration 235 | Energy: -237.5521079447324
Iteration 236 | Energy: -237.5521079447662
Iteration 237 | Energy: -237.55210794487925
Iteration 238 | Energy: -237.5521079449469
Iteration 239 | Energy: -237.55210794452285
Iteration 240 | Energy: -237.55210794454152
Iteration 241 | Energy: -237.5521079445295
Iteration 242 | Energy: -237.55210794450164
Iteration 243 | Energy: -237.55210794458048
Iteration 244 | Energy: -237.55210794448527
Iteration 245 | Energy: -237.5679516627983
Iteration 246 | Energy: -237.56795166275435
Iteration 247 | Energy: -237.56795166311485
Iteration 248 | Energy: -237.5679516629251
Iteration 249 | Energy: -237.56795166283015
Iteration 250 | Energy: -237.56795166237606
Iteration 251 | Energy: -237.56795166330284
Iteration 252 | Energy: -237.5679516628456
Iteration 253 | Energy: -237.5679516625853
Iteration 254 | Energy: -237.5679516628002
Iteration 255 | Energy: -237.5679516625024
Iteration 256 | Energy: -237.56795166373342
Iteration 257 | Energy: -237.56795166316346
Iteration 258 | Energy: -237.5679516627325
Iteration 259 | Energy: -237.56795166282424
Iteration 260 | Energy: -237.56795166310084
Iteration 261 | Energy: -237.56795166289933
Iteration 262 | Energy: -237.56795166266684
Iteration 263 | Energy: -237.56795166267992
Iteration 264 | Energy: -237.56795166283644
Iteration 265 | Energy: -237.56795166274281
Iteration 266 | Energy: -237.5679516625291
Iteration 267 | Energy: -237.56795166286338
Iteration 268 | Energy: -237.56795166303704
Iteration 269 | Energy: -237.56795166172762
Iteration 270 | Energy: -237.56795166306284
Iteration 271 | Energy: -237.56795166314635
Iteration 272 | Energy: -237.5679516635564
Iteration 273 | Energy: -237.5679516632406
Iteration 274 | Energy: -237.56795166244146
Iteration 275 | Energy: -237.56795166340515
Iteration 276 | Energy: -237.56795166275845
Iteration 277 | Energy: -237.56795166270626
Iteration 278 | Energy: -237.56795166314475
Iteration 279 | Energy: -237.5679516627819
Iteration 280 | Energy: -237.56795166288893
Iteration 281 | Energy: -237.56795166285295
Iteration 282 | Energy: -237.567951662777
Iteration 283 | Energy: -237.56795166249353
Iteration 284 | Energy: -237.5679516611031
Iteration 285 | Energy: -237.5679516625329
Iteration 286 | Energy: -237.56795166263706
Iteration 287 | Energy: -237.5679516626004
Iteration 288 | Energy: -237.5679516627983
Iteration 289 | Energy: -237.5679516627865
Iteration 290 | Energy: -237.5679516627807
Iteration 291 | Energy: -237.56795166285147
Iteration 292 | Energy: -237.5679516627576
Iteration 293 | Energy: -237.56795166283408
Iteration 294 | Energy: -237.62120522206436
Iteration 295 | Energy: -237.6212052222785
Iteration 296 | Energy: -237.621205222394
Iteration 297 | Energy: -237.62120522218555
Iteration 298 | Energy: -237.62120522193442
Iteration 299 | Energy: -237.621205221973
Iteration 300 | Energy: -237.62120522214727
Iteration 301 | Energy: -237.6212052223275
Iteration 302 | Energy: -237.62120522197688
Iteration 303 | Energy: -237.62120522215022
Iteration 304 | Energy: -237.62120522205362
Iteration 305 | Energy: -237.62120522243157
Iteration 306 | Energy: -237.6212052227935
Iteration 307 | Energy: -237.62120522201255
Iteration 308 | Energy: -237.62120522228463
Iteration 309 | Energy: -237.62120522223267
Iteration 310 | Energy: -237.62120522217182
Iteration 311 | Energy: -237.62120522166748
Iteration 312 | Energy: -237.62120522181078
Iteration 313 | Energy: -237.62120522208608
Iteration 314 | Energy: -237.6212052220838
Iteration 315 | Energy: -237.62120522188002
Iteration 316 | Energy: -237.6212052220378
Iteration 317 | Energy: -237.62120522200576
Iteration 318 | Energy: -237.62120522221818
Iteration 319 | Energy: -237.62120522240255
Iteration 320 | Energy: -237.62120522227022
Iteration 321 | Energy: -237.6212052227936
Iteration 322 | Energy: -237.62120522263797
Iteration 323 | Energy: -237.62120522170034
Iteration 324 | Energy: -237.62120522200001
Iteration 325 | Energy: -237.62120522204495
Iteration 326 | Energy: -237.62120522203767
Iteration 327 | Energy: -237.6212052220948
Iteration 328 | Energy: -237.62120522212032
Iteration 329 | Energy: -237.62120522191094
Iteration 330 | Energy: -237.62120522223304
Iteration 331 | Energy: -237.62120522191609
Iteration 332 | Energy: -237.62120522212578
Iteration 333 | Energy: -237.62120522141305
Iteration 334 | Energy: -237.62120522218726
Iteration 335 | Energy: -237.62120522209335
Iteration 336 | Energy: -237.62120522220465
Iteration 337 | Energy: -237.6212052220644
Iteration 338 | Energy: -237.62120522206365
Iteration 339 | Energy: -237.62120522205177
Iteration 340 | Energy: -237.62120522205439
Iteration 341 | Energy: -237.62120522209887
Iteration 342 | Energy: -237.62120522204407
Iteration 343 | Energy: -237.6616294377557
Iteration 344 | Energy: -237.66162943788655
Iteration 345 | Energy: -237.66162943804582
Iteration 346 | Energy: -237.66162943776368
Iteration 347 | Energy: -237.66162943775964
Iteration 348 | Energy: -237.6616294374629
Iteration 349 | Energy: -237.66162943786046
Iteration 350 | Energy: -237.66162943789612
Iteration 351 | Energy: -237.66162943756103
Iteration 352 | Energy: -237.66162943777164
Iteration 353 | Energy: -237.661629437383
Iteration 354 | Energy: -237.66162943830855
Iteration 355 | Energy: -237.66162943769172
Iteration 356 | Energy: -237.66162943764715
Iteration 357 | Energy: -237.66162943786173
Iteration 358 | Energy: -237.66162943791937
Iteration 359 | Energy: -237.66162943782888
Iteration 360 | Energy: -237.66162943748333
Iteration 361 | Energy: -237.66162943806523
Iteration 362 | Energy: -237.6616294377594
Iteration 363 | Energy: -237.66162943767193
Iteration 364 | Energy: -237.66162943752803
Iteration 365 | Energy: -237.66162943778917
Iteration 366 | Energy: -237.66162943786904
Iteration 367 | Energy: -237.66162943685248
Iteration 368 | Energy: -237.66162943792656
Iteration 369 | Energy: -237.6616294378962
Iteration 370 | Energy: -237.66162943825626
Iteration 371 | Energy: -237.66162943802345
Iteration 372 | Energy: -237.66162943750777
Iteration 373 | Energy: -237.66162943844975
Iteration 374 | Energy: -237.66162943774646
Iteration 375 | Energy: -237.661629437713
Iteration 376 | Energy: -237.66162943783797
Iteration 377 | Energy: -237.66162943773142
Iteration 378 | Energy: -237.6616294378505
Iteration 379 | Energy: -237.6616294377663
Iteration 380 | Energy: -237.66162943761205
Iteration 381 | Energy: -237.6616294376624
Iteration 382 | Energy: -237.66162943674993
Iteration 383 | Energy: -237.66162943751172
Iteration 384 | Energy: -237.66162943735594
Iteration 385 | Energy: -237.6616294374802
Iteration 386 | Energy: -237.66162943775558
Iteration 387 | Energy: -237.66162943774867
Iteration 388 | Energy: -237.661629437738
Iteration 389 | Energy: -237.6616294377844
Iteration 390 | Energy: -237.66162943774398
Iteration 391 | Energy: -237.6616294377717
Iteration 392 | Energy: -237.70966735366557
Iteration 393 | Energy: -237.70966735387776
Iteration 394 | Energy: -237.70966735387464
Iteration 395 | Energy: -237.7096673535558
Iteration 396 | Energy: -237.70966735380065
Iteration 397 | Energy: -237.70966735361264
Iteration 398 | Energy: -237.70966735376533
Iteration 399 | Energy: -237.7096673538351
Iteration 400 | Energy: -237.709667353511
Iteration 401 | Energy: -237.70966735367372
Iteration 402 | Energy: -237.70966735331132
Iteration 403 | Energy: -237.70966735372727
Iteration 404 | Energy: -237.70966735312743
Iteration 405 | Energy: -237.70966735355483
Iteration 406 | Energy: -237.70966735375944
Iteration 407 | Energy: -237.7096673537659
Iteration 408 | Energy: -237.70966735376092
Iteration 409 | Energy: -237.70966735377812
Iteration 410 | Energy: -237.70966735360102
Iteration 411 | Energy: -237.7096673536496
Iteration 412 | Energy: -237.70966735357516
Iteration 413 | Energy: -237.70966735353045
Iteration 414 | Energy: -237.70966735368557
Iteration 415 | Energy: -237.7096673537913
Iteration 416 | Energy: -237.70966735333153
Iteration 417 | Energy: -237.709667353682
Iteration 418 | Energy: -237.70966735359286
Iteration 419 | Energy: -237.70966735377624
Iteration 420 | Energy: -237.70966735378911
Iteration 421 | Energy: -237.70966735344788
Iteration 422 | Energy: -237.70966735405676
Iteration 423 | Energy: -237.70966735366827
Iteration 424 | Energy: -237.70966735362077
Iteration 425 | Energy: -237.70966735368518
Iteration 426 | Energy: -237.70966735362177
Iteration 427 | Energy: -237.70966735384275
Iteration 428 | Energy: -237.70966735357013
Iteration 429 | Energy: -237.70966735349728
Iteration 430 | Energy: -237.7096673535803
Iteration 431 | Energy: -237.70966735334085
Iteration 432 | Energy: -237.7096673534147
Iteration 433 | Energy: -237.70966735316438
Iteration 434 | Energy: -237.70966735353426
Iteration 435 | Energy: -237.70966735366557
Iteration 436 | Energy: -237.70966735366397
Iteration 437 | Energy: -237.7096673536491
