Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -238.2712551979029
Iteration 1 | Energy: -238.27125519896742
Iteration 2 | Energy: -238.2712551966649
Iteration 3 | Energy: -238.2712551978374
Iteration 4 | Energy: -238.2712551982498
Iteration 5 | Energy: -238.27125519909308
Iteration 6 | Energy: -238.2712551961469
Iteration 7 | Energy: -238.27125519827345
Iteration 8 | Energy: -238.27125519774344
Iteration 9 | Energy: -238.2712551983521
Iteration 10 | Energy: -238.2712551977702
Iteration 11 | Energy: -238.27125519653276
Iteration 12 | Energy: -238.27125519797605
Iteration 13 | Energy: -238.27125519698882
Iteration 14 | Energy: -238.27125519716787
Iteration 15 | Energy: -238.27125519770632
Iteration 16 | Energy: -238.27125519829988
Iteration 17 | Energy: -238.2712551985047
Iteration 18 | Energy: -238.2712551980128
Iteration 19 | Energy: -238.27125519804457
Iteration 20 | Energy: -238.27125519779906
Iteration 21 | Energy: -238.2712551973147
Iteration 22 | Energy: -238.27125519694454
Iteration 23 | Energy: -238.27125519714608
Iteration 24 | Energy: -238.271255198266
Iteration 25 | Energy: -238.2712551974668
Iteration 26 | Energy: -238.2712551987527
Iteration 27 | Energy: -238.27125519785713
Iteration 28 | Energy: -238.27125519901531
Iteration 29 | Energy: -238.27125519817847
Iteration 30 | Energy: -238.27125519900787
Iteration 31 | Energy: -238.27125519821848
Iteration 32 | Energy: -238.27125519762706
Iteration 33 | Energy: -238.27125519787157
Iteration 34 | Energy: -238.27125519784678
Iteration 35 | Energy: -238.27125519846692
Iteration 36 | Energy: -238.27125519750513
Iteration 37 | Energy: -238.27125519781436
Iteration 38 | Energy: -238.27125519778025
Iteration 39 | Energy: -238.27125519812202
Iteration 40 | Energy: -238.2712551968942
Iteration 41 | Energy: -238.27125519722247
Iteration 42 | Energy: -238.27125519794166
Iteration 43 | Energy: -238.2712551979029
Iteration 44 | Energy: -238.27125519794203
Iteration 45 | Energy: -238.27125519809172
Iteration 46 | Energy: -238.27125519799534
Iteration 47 | Energy: -238.27125519784875
Iteration 48 | Energy: -238.27125519791804
Iteration 49 | Energy: -238.5266376787551
Iteration 50 | Energy: -238.52663767882794
