Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -238.01340683461433
Iteration 1 | Energy: -238.01340683526647
Iteration 2 | Energy: -238.01340683420037
Iteration 3 | Energy: -238.01340683460108
Iteration 4 | Energy: -238.01340683460853
Iteration 5 | Energy: -238.01340683410555
Iteration 6 | Energy: -238.01340683496858
Iteration 7 | Energy: -238.01340683471494
Iteration 8 | Energy: -238.0134068348356
Iteration 9 | Energy: -238.01340683470713
Iteration 10 | Energy: -238.013406834604
Iteration 11 | Energy: -238.0134068348852
Iteration 12 | Energy: -238.01340683508752
Iteration 13 | Energy: -238.0134068348911
Iteration 14 | Energy: -238.01340683486782
Iteration 15 | Energy: -238.0134068338138
Iteration 16 | Energy: -238.01340683434614
Iteration 17 | Energy: -238.0134068347618
Iteration 18 | Energy: -238.01340683507595
Iteration 19 | Energy: -238.01340683465446
Iteration 20 | Energy: -238.0134068344874
Iteration 21 | Energy: -238.01340683451372
Iteration 22 | Energy: -238.013406834317
Iteration 23 | Energy: -238.01340683469618
Iteration 24 | Energy: -238.01340683444815
Iteration 25 | Energy: -238.01340683474643
Iteration 26 | Energy: -238.01340683435163
Iteration 27 | Energy: -238.01340683436197
Iteration 28 | Energy: -238.01340683470008
Iteration 29 | Energy: -238.0134068353597
Iteration 30 | Energy: -238.01340683533132
Iteration 31 | Energy: -238.01340683466654
Iteration 32 | Energy: -238.0134068347002
Iteration 33 | Energy: -238.01340683433926
Iteration 34 | Energy: -238.0134068341397
Iteration 35 | Energy: -238.0134068342273
Iteration 36 | Energy: -238.01340683457747
Iteration 37 | Energy: -238.013406834599
Iteration 38 | Energy: -238.0134068346492
Iteration 39 | Energy: -238.01340683459992
Iteration 40 | Energy: -238.01340683489153
Iteration 41 | Energy: -238.013406834028
Iteration 42 | Energy: -238.013406835573
Iteration 43 | Energy: -238.01340683461424
Iteration 44 | Energy: -238.01340683452995
Iteration 45 | Energy: -238.01340683471213
Iteration 46 | Energy: -238.0134068346772
Iteration 47 | Energy: -238.01340683459273
Iteration 48 | Energy: -238.01340683467973
Iteration 49 | Energy: -238.1624830124343
Iteration 50 | Energy: -238.1624830128621
Iteration 51 | Energy: -238.16248301195873
Iteration 52 | Energy: -238.1624830129312
Iteration 53 | Energy: -238.16248301254785
Iteration 54 | Energy: -238.16248301151867
Iteration 55 | Energy: -238.16248301204874
Iteration 56 | Energy: -238.16248301205084
Iteration 57 | Energy: -238.1624830127897
Iteration 58 | Energy: -238.16248301217792
Iteration 59 | Energy: -238.16248301243635
Iteration 60 | Energy: -238.1624830121688
Iteration 61 | Energy: -238.1624830120818
Iteration 62 | Energy: -238.16248301295894
Iteration 63 | Energy: -238.16248301179712
Iteration 64 | Energy: -238.16248301178268
