Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -238.1011726752842
Iteration 1 | Energy: -238.1011726750536
Iteration 2 | Energy: -238.1011726766116
Iteration 3 | Energy: -238.10117267527528
Iteration 4 | Energy: -238.10117267533633
Iteration 5 | Energy: -238.1011726751976
Iteration 6 | Energy: -238.1011726741608
Iteration 7 | Energy: -238.10117267526599
Iteration 8 | Energy: -238.10117267540866
Iteration 9 | Energy: -238.101172675082
Iteration 10 | Energy: -238.1011726753219
Iteration 11 | Energy: -238.1011726753511
Iteration 12 | Energy: -238.10117267469957
Iteration 13 | Energy: -238.1011726751125
Iteration 14 | Energy: -238.1011726740933
Iteration 15 | Energy: -238.10117267519146
Iteration 16 | Energy: -238.10117267477105
Iteration 17 | Energy: -238.10117267509958
Iteration 18 | Energy: -238.10117267510253
Iteration 19 | Energy: -238.10117267553247
Iteration 20 | Energy: -238.10117267524396
Iteration 21 | Energy: -238.10117267601257
Iteration 22 | Energy: -238.10117267580094
Iteration 23 | Energy: -238.10117267574938
Iteration 24 | Energy: -238.10117267380076
Iteration 25 | Energy: -238.1011726757193
Iteration 26 | Energy: -238.10117267517833
Iteration 27 | Energy: -238.1011726758532
Iteration 28 | Energy: -238.1011726760887
Iteration 29 | Energy: -238.10117267500192
Iteration 30 | Energy: -238.10117267401648
Iteration 31 | Energy: -238.10117267545237
Iteration 32 | Energy: -238.10117267551178
Iteration 33 | Energy: -238.1011726754338
Iteration 34 | Energy: -238.10117267526778
Iteration 35 | Energy: -238.1011726751804
Iteration 36 | Energy: -238.10117267548085
Iteration 37 | Energy: -238.1011726755177
Iteration 38 | Energy: -238.10117267547207
Iteration 39 | Energy: -238.10117267562455
Iteration 40 | Energy: -238.10117267590203
Iteration 41 | Energy: -238.10117267530458
Iteration 42 | Energy: -238.10117267606796
Iteration 43 | Energy: -238.1011726752842
Iteration 44 | Energy: -238.10117267522335
Iteration 45 | Energy: -238.1011726754645
Iteration 46 | Energy: -238.1011726752662
Iteration 47 | Energy: -238.10117267517896
Iteration 48 | Energy: -238.10117267527494
Iteration 49 | Energy: -238.31494730121338
Iteration 50 | Energy: -238.3149473010098
Iteration 51 | Energy: -238.31494730096418
Iteration 52 | Energy: -238.3149473012076
Iteration 53 | Energy: -238.31494730142614
Iteration 54 | Energy: -238.31494730183402
Iteration 55 | Energy: -238.31494730067575
Iteration 56 | Energy: -238.314947301395
Iteration 57 | Energy: -238.31494730154776
Iteration 58 | Energy: -238.3149473005695
Iteration 59 | Energy: -238.31494730123268
Iteration 60 | Energy: -238.31494730115585
Iteration 61 | Energy: -238.31494730103722
Iteration 62 | Energy: -238.31494730232143
Iteration 63 | Energy: -238.3149473014504
Iteration 64 | Energy: -238.31494730040976
Iteration 65 | Energy: -238.3149472999513
Iteration 66 | Energy: -238.31494729991667
Iteration 67 | Energy: -238.314947300881
Iteration 68 | Energy: -238.31494730123316
Iteration 69 | Energy: -238.3149473013327
Iteration 70 | Energy: -238.31494730122765
Iteration 71 | Energy: -238.31494730097964
Iteration 72 | Energy: -238.31494730093735
Iteration 73 | Energy: -238.3149473014397
Iteration 74 | Energy: -238.3149473010422
Iteration 75 | Energy: -238.31494730084074
Iteration 76 | Energy: -238.3149473009271
Iteration 77 | Energy: -238.3149473018517
Iteration 78 | Energy: -238.31494730079578
Iteration 79 | Energy: -238.31494730149802
Iteration 80 | Energy: -238.31494730137578
Iteration 81 | Energy: -238.31494730084063
Iteration 82 | Energy: -238.31494730138223
Iteration 83 | Energy: -238.31494730134173
Iteration 84 | Energy: -238.3149473012336
Iteration 85 | Energy: -238.3149473009432
Iteration 86 | Energy: -238.31494730099595
Iteration 87 | Energy: -238.31494730117197
Iteration 88 | Energy: -238.3149473017537
Iteration 89 | Energy: -238.31494730097222
Iteration 90 | Energy: -238.31494730099917
Iteration 91 | Energy: -238.31494730133204
Iteration 92 | Energy: -238.3149473012134
Iteration 93 | Energy: -238.31494730115762
Iteration 94 | Energy: -238.31494730142148
