Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -237.72957815275925
Iteration 1 | Energy: -237.72957815314265
Iteration 2 | Energy: -237.72957815327547
Iteration 3 | Energy: -237.7295781537199
Iteration 4 | Energy: -237.72957815271096
Iteration 5 | Energy: -237.7295781533698
Iteration 6 | Energy: -237.7295781529004
Iteration 7 | Energy: -237.72957815272142
Iteration 8 | Energy: -237.72957815268822
Iteration 9 | Energy: -237.7295781530716
Iteration 10 | Energy: -237.72957815301584
Iteration 11 | Energy: -237.72957815276243
Iteration 12 | Energy: -237.72957815248535
Iteration 13 | Energy: -237.72957815228554
Iteration 14 | Energy: -237.72957815219021
Iteration 15 | Energy: -237.72957815282845
Iteration 16 | Energy: -237.72957815359104
Iteration 17 | Energy: -237.72957815288166
Iteration 18 | Energy: -237.72957815311744
Iteration 19 | Energy: -237.72957815265522
Iteration 20 | Energy: -237.72957815253685
Iteration 21 | Energy: -237.72957815254688
Iteration 22 | Energy: -237.7295781534173
Iteration 23 | Energy: -237.72957815253886
Iteration 24 | Energy: -237.72957815271752
Iteration 25 | Energy: -237.72957815220113
Iteration 26 | Energy: -237.729578152556
Iteration 27 | Energy: -237.7295781529201
Iteration 28 | Energy: -237.72957815171898
Iteration 29 | Energy: -237.72957815267802
Iteration 30 | Energy: -237.72957815282672
Iteration 31 | Energy: -237.72957815285554
Iteration 32 | Energy: -237.7295781524957
Iteration 33 | Energy: -237.72957815316155
Iteration 34 | Energy: -237.72957815281273
Iteration 35 | Energy: -237.72957815341147
Iteration 36 | Energy: -237.72957815295314
Iteration 37 | Energy: -237.72957815272036
Iteration 38 | Energy: -237.72957815313802
Iteration 39 | Energy: -237.72957815293307
Iteration 40 | Energy: -237.7295781520519
Iteration 41 | Energy: -237.7295781525531
Iteration 42 | Energy: -237.72957815201016
Iteration 43 | Energy: -237.7295781527593
Iteration 44 | Energy: -237.7295781525258
Iteration 45 | Energy: -237.72957815284715
Iteration 46 | Energy: -237.72957815266312
Iteration 47 | Energy: -237.72957815261782
Iteration 48 | Energy: -237.729578152695
Iteration 49 | Energy: -237.9222524512638
Iteration 50 | Energy: -237.9222524518225
Iteration 51 | Energy: -237.92225245135697
Iteration 52 | Energy: -237.92225245179912
Iteration 53 | Energy: -237.92225245091316
Iteration 54 | Energy: -237.92225245046487
Iteration 55 | Energy: -237.92225245101173
Iteration 56 | Energy: -237.92225245118277
Iteration 57 | Energy: -237.92225245092814
Iteration 58 | Energy: -237.92225245124789
Iteration 59 | Energy: -237.92225245129995
Iteration 60 | Energy: -237.92225245109736
Iteration 61 | Energy: -237.92225245190687
Iteration 62 | Energy: -237.9222524508193
Iteration 63 | Energy: -237.92225245125505
Iteration 64 | Energy: -237.92225245149464
Iteration 65 | Energy: -237.9222524512505
Iteration 66 | Energy: -237.9222524518319
Iteration 67 | Energy: -237.92225245167563
Iteration 68 | Energy: -237.92225245104973
Iteration 69 | Energy: -237.922252451148
