Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -237.87869572568118
Iteration 1 | Energy: -237.87869572610094
Iteration 2 | Energy: -237.87869572559896
Iteration 3 | Energy: -237.87869572650018
Iteration 4 | Energy: -237.87869572551884
Iteration 5 | Energy: -237.87869572557693
Iteration 6 | Energy: -237.87869572628446
Iteration 7 | Energy: -237.87869572604947
Iteration 8 | Energy: -237.878695726781
Iteration 9 | Energy: -237.87869572602693
Iteration 10 | Energy: -237.87869572626332
Iteration 11 | Energy: -237.87869572611575
Iteration 12 | Energy: -237.8786957252404
Iteration 13 | Energy: -237.87869572504314
Iteration 14 | Energy: -237.87869572551708
Iteration 15 | Energy: -237.8786957251774
Iteration 16 | Energy: -237.87869572546882
Iteration 17 | Energy: -237.87869572606877
Iteration 18 | Energy: -237.87869572569736
Iteration 19 | Energy: -237.8786957253727
Iteration 20 | Energy: -237.87869572485243
Iteration 21 | Energy: -237.87869572538287
Iteration 22 | Energy: -237.8786957256131
Iteration 23 | Energy: -237.87869572615978
Iteration 24 | Energy: -237.8786957270705
Iteration 25 | Energy: -237.8786957250786
Iteration 26 | Energy: -237.87869572637084
Iteration 27 | Energy: -237.87869572576165
Iteration 28 | Energy: -237.87869572593382
Iteration 29 | Energy: -237.87869572595187
Iteration 30 | Energy: -237.87869572600275
Iteration 31 | Energy: -237.87869572577338
Iteration 32 | Energy: -237.87869572518252
Iteration 33 | Energy: -237.8786957258073
Iteration 34 | Energy: -237.87869572586467
Iteration 35 | Energy: -237.87869572543474
Iteration 36 | Energy: -237.8786957258126
Iteration 37 | Energy: -237.87869572543613
Iteration 38 | Energy: -237.87869572577756
Iteration 39 | Energy: -237.87869572613695
Iteration 40 | Energy: -237.87869572623322
Iteration 41 | Energy: -237.8786957255946
Iteration 42 | Energy: -237.87869572600462
Iteration 43 | Energy: -237.87869572568118
Iteration 44 | Energy: -237.87869572563963
Iteration 45 | Energy: -237.87869572573402
Iteration 46 | Energy: -237.87869572560265
Iteration 47 | Energy: -237.87869572561655
Iteration 48 | Energy: -237.8786957258044
Iteration 49 | Energy: -238.05566850298916
Iteration 50 | Energy: -238.0556685032387
Iteration 51 | Energy: -238.05566850334344
Iteration 52 | Energy: -238.05566850322407
Iteration 53 | Energy: -238.0556685024637
Iteration 54 | Energy: -238.05566850276185
Iteration 55 | Energy: -238.055668503294
Iteration 56 | Energy: -238.0556685032515
Iteration 57 | Energy: -238.05566850304652
Iteration 58 | Energy: -238.05566850292658
Iteration 59 | Energy: -238.05566850332016
Iteration 60 | Energy: -238.05566850329143
Iteration 61 | Energy: -238.05566850280982
Iteration 62 | Energy: -238.0556685028341
Iteration 63 | Energy: -238.0556685029942
Iteration 64 | Energy: -238.05566850278873
Iteration 65 | Energy: -238.0556685033705
Iteration 66 | Energy: -238.055668503071
Iteration 67 | Energy: -238.0556685027253
Iteration 68 | Energy: -238.0556685028429
Iteration 69 | Energy: -238.05566850294912
Iteration 70 | Energy: -238.0556685026275
Iteration 71 | Energy: -238.05566850260863
Iteration 72 | Energy: -238.0556685029833
Iteration 73 | Energy: -238.0556685034039
Iteration 74 | Energy: -238.05566850290657
Iteration 75 | Energy: -238.05566850263216
Iteration 76 | Energy: -238.05566850339835
Iteration 77 | Energy: -238.05566850319624
Iteration 78 | Energy: -238.0556685029835
Iteration 79 | Energy: -238.05566850159244
Iteration 80 | Energy: -238.05566850308782
Iteration 81 | Energy: -238.0556685025941
Iteration 82 | Energy: -238.05566850316964
Iteration 83 | Energy: -238.05566850303939
Iteration 84 | Energy: -238.05566850282665
Iteration 85 | Energy: -238.05566850217548
Iteration 86 | Energy: -238.05566850286078
Iteration 87 | Energy: -238.05566850317874
Iteration 88 | Energy: -238.0556685029114
Iteration 89 | Energy: -238.0556685032827
Iteration 90 | Energy: -238.05566850283557
Iteration 91 | Energy: -238.0556685018411
Iteration 92 | Energy: -238.05566850298916
Iteration 93 | Energy: -238.05566850291365
Iteration 94 | Energy: -238.055668502928
Iteration 95 | Energy: -238.0556685030144
Iteration 96 | Energy: -238.05566850295844
Iteration 97 | Energy: -238.0556685030222
Iteration 98 | Energy: -238.17494341325337
Iteration 99 | Energy: -238.1749434130966
Iteration 100 | Energy: -238.17494341411842
Iteration 101 | Energy: -238.17494341321887
Iteration 102 | Energy: -238.1749434133699
Iteration 103 | Energy: -238.17494341311345
Iteration 104 | Energy: -238.17494341255073
Iteration 105 | Energy: -238.1749434133105
Iteration 106 | Energy: -238.17494341310936
Iteration 107 | Energy: -238.17494341318414
Iteration 108 | Energy: -238.17494341351969
Iteration 109 | Energy: -238.17494341327424
Iteration 110 | Energy: -238.17494341345568
Iteration 111 | Energy: -238.17494341314602
Iteration 112 | Energy: -238.17494341314173
Iteration 113 | Energy: -238.17494341324252
Iteration 114 | Energy: -238.17494341343277
Iteration 115 | Energy: -238.17494341307
Iteration 116 | Energy: -238.17494341311527
Iteration 117 | Energy: -238.1749434134769
Iteration 118 | Energy: -238.1749434134752
Iteration 119 | Energy: -238.17494341311064
Iteration 120 | Energy: -238.17494341284194
Iteration 121 | Energy: -238.1749434132998
Iteration 122 | Energy: -238.17494341341828
Iteration 123 | Energy: -238.17494341288779
Iteration 124 | Energy: -238.17494341278777
Iteration 125 | Energy: -238.17494341369564
Iteration 126 | Energy: -238.1749434139614
Iteration 127 | Energy: -238.1749434139817
Iteration 128 | Energy: -238.17494341270555
Iteration 129 | Energy: -238.1749434133627
Iteration 130 | Energy: -238.1749434128816
Iteration 131 | Energy: -238.17494341349735
Iteration 132 | Energy: -238.17494341311036
Iteration 133 | Energy: -238.17494341332613
Iteration 134 | Energy: -238.17494341279175
Iteration 135 | Energy: -238.17494341346233
Iteration 136 | Energy: -238.17494341342163
Iteration 137 | Energy: -238.17494341294264
Iteration 138 | Energy: -238.17494341322922
Iteration 139 | Energy: -238.1749434140959
Iteration 140 | Energy: -238.1749434129812
Iteration 141 | Energy: -238.17494341325337
Iteration 142 | Energy: -238.17494341317126
Iteration 143 | Energy: -238.17494341311686
Iteration 144 | Energy: -238.17494341323268
Iteration 145 | Energy: -238.17494341322796
Iteration 146 | Energy: -238.17494341323467
Iteration 147 | Energy: -238.29277504374875
Iteration 148 | Energy: -238.29277504380607
Iteration 149 | Energy: -238.29277504431957
Iteration 150 | Energy: -238.29277504387287
Iteration 151 | Energy: -238.2927750438169
Iteration 152 | Energy: -238.29277504357896
Iteration 153 | Energy: -238.29277504268953
Iteration 154 | Energy: -238.29277504340823
Iteration 155 | Energy: -238.2927750434935
Iteration 156 | Energy: -238.29277504371532
Iteration 157 | Energy: -238.29277504413284
Iteration 158 | Energy: -238.29277504366098
Iteration 159 | Energy: -238.29277504440304
Iteration 160 | Energy: -238.29277504363475
Iteration 161 | Energy: -238.29277504368758
Iteration 162 | Energy: -238.2927750439321
Iteration 163 | Energy: -238.29277504391897
Iteration 164 | Energy: -238.29277504365132
Iteration 165 | Energy: -238.2927750439386
Iteration 166 | Energy: -238.29277504456346
Iteration 167 | Energy: -238.2927750441635
Iteration 168 | Energy: -238.29277504378138
Iteration 169 | Energy: -238.29277504363603
Iteration 170 | Energy: -238.2927750436204
Iteration 171 | Energy: -238.29277504368994
Iteration 172 | Energy: -238.2927750438145
Iteration 173 | Energy: -238.29277504333515
Iteration 174 | Energy: -238.29277504408105
Iteration 175 | Energy: -238.29277504452034
Iteration 176 | Energy: -238.29277504394167
Iteration 177 | Energy: -238.29277504392627
Iteration 178 | Energy: -238.29277504378672
Iteration 179 | Energy: -238.2927750436691
Iteration 180 | Energy: -238.29277504397987
Iteration 181 | Energy: -238.29277504358197
Iteration 182 | Energy: -238.292775043812
Iteration 183 | Energy: -238.2927750432229
Iteration 184 | Energy: -238.2927750440646
Iteration 185 | Energy: -238.29277504365848
Iteration 186 | Energy: -238.29277504334493
Iteration 187 | Energy: -238.29277504365888
Iteration 188 | Energy: -238.29277504437476
Iteration 189 | Energy: -238.29277504390947
Iteration 190 | Energy: -238.29277504374886
Iteration 191 | Energy: -238.29277504372757
Iteration 192 | Energy: -238.2927750436612
Iteration 193 | Energy: -238.29277504372973
Iteration 194 | Energy: -238.29277504372288
Iteration 195 | Energy: -238.2927750438104
Iteration 196 | Energy: -238.35644620126868
Iteration 197 | Energy: -238.35644620183743
Iteration 198 | Energy: -238.35644620130154
Iteration 199 | Energy: -238.35644620125117
Iteration 200 | Energy: -238.3564462016548
Iteration 201 | Energy: -238.3564462011765
Iteration 202 | Energy: -238.3564462002446
Iteration 203 | Energy: -238.35644620118865
Iteration 204 | Energy: -238.35644620109414
Iteration 205 | Energy: -238.3564462014945
Iteration 206 | Energy: -238.3564462008913
Iteration 207 | Energy: -238.35644620134093
Iteration 208 | Energy: -238.35644620212588
Iteration 209 | Energy: -238.3564462020027
Iteration 210 | Energy: -238.35644620095624
Iteration 211 | Energy: -238.35644620122173
Iteration 212 | Energy: -238.35644620100976
Iteration 213 | Energy: -238.35644620127485
Iteration 214 | Energy: -238.3564462014693
Iteration 215 | Energy: -238.3564462023392
Iteration 216 | Energy: -238.35644620188367
Iteration 217 | Energy: -238.35644620172997
Iteration 218 | Energy: -238.35644620156597
Iteration 219 | Energy: -238.35644620132024
Iteration 220 | Energy: -238.35644620088618
Iteration 221 | Energy: -238.35644620263082
Iteration 222 | Energy: -238.35644620138564
Iteration 223 | Energy: -238.35644620100058
Iteration 224 | Energy: -238.35644620025872
Iteration 225 | Energy: -238.35644620223803
Iteration 226 | Energy: -238.35644620298368
Iteration 227 | Energy: -238.35644620132823
Iteration 228 | Energy: -238.35644620136054
Iteration 229 | Energy: -238.35644620118828
Iteration 230 | Energy: -238.35644620144075
Iteration 231 | Energy: -238.35644620126325
Iteration 232 | Energy: -238.3564462021535
Iteration 233 | Energy: -238.35644620159815
Iteration 234 | Energy: -238.3564462012922
Iteration 235 | Energy: -238.35644620101277
Iteration 236 | Energy: -238.356446201178
Iteration 237 | Energy: -238.356446201587
Iteration 238 | Energy: -238.35644620306957
Iteration 239 | Energy: -238.35644620126874
Iteration 240 | Energy: -238.35644620129014
Iteration 241 | Energy: -238.35644620126908
Iteration 242 | Energy: -238.35644620127522
Iteration 243 | Energy: -238.35644620128315
Iteration 244 | Energy: -238.35644620135648
Iteration 245 | Energy: -238.50933210504417
Iteration 246 | Energy: -238.50933210511977
Iteration 247 | Energy: -238.50933210539708
Iteration 248 | Energy: -238.50933210490615
Iteration 249 | Energy: -238.50933210535084
Iteration 250 | Energy: -238.50933210508092
Iteration 251 | Energy: -238.50933210436574
Iteration 252 | Energy: -238.50933210511255
Iteration 253 | Energy: -238.50933210490194
Iteration 254 | Energy: -238.50933210515106
Iteration 255 | Energy: -238.50933210530474
Iteration 256 | Energy: -238.50933210529698
Iteration 257 | Energy: -238.50933210622222
Iteration 258 | Energy: -238.50933210465308
Iteration 259 | Energy: -238.50933210456432
Iteration 260 | Energy: -238.50933210501046
Iteration 261 | Energy: -238.5093321047189
Iteration 262 | Energy: -238.50933210515032
Iteration 263 | Energy: -238.5093321057009
